pair	nsnps	mismatch	pmr
Cuncaicha15-07 - Yaghan894	22174	6864	0.30955172724812846
Cuncaicha15-07 - Yaghan895	22448	6998	0.3117426942266572
Cuncaicha15-07 - Anzick	23860	7845	0.3287929589270746
I0038 - I0040	23416	7037	0.30052101127434233
I0038 - I0041	23146	7008	0.30277369739911864
I0038 - I0238	14994	4588	0.3059890622915833
I0038 - I0308	22349	7134	0.31920891315047656
I0038 - I0309	23032	7268	0.31556095866620354
I0038 - I1748	7915	2526	0.3191408717624763
I0038 - I1753	23851	7650	0.3207412687099073
I0038 - I1754	23979	7438	0.3101880812377497
I0038 - I2230	23909	7668	0.32071604834999373
I0038 - I2232	8824	2884	0.3268359020852221
I0038 - I7086	16320	5275	0.3232230392156863
I0038 - I7090	19604	6507	0.33192205672311775
I0038 - Lapa01	22183	7162	0.32285984763106884
I0038 - Lapa05	17835	5708	0.32004485562097
I0038 - Lapa14	22494	7243	0.3219969769716369
I0038 - Lapa15	23175	7434	0.3207766990291262
I0038 - Lapa22	22379	7170	0.3203896510121096
I0038 - Lapa24	23464	7474	0.31853051483123085
I0038 - Lapa25	22998	7381	0.3209409513870771
I0038 - AM66	7028	2236	0.31815594763801935
I0038 - AM71	15014	4796	0.3194351938191022
I0038 - AM73	5363	1727	0.3220212567592765
I0038 - AM74	21728	7229	0.3327043446244477
I0038 - MA577	23871	7630	0.319634703196347
I0038 - Yaghan890	18097	5650	0.31220644305686024
I0038 - Yaghan894	22731	7021	0.3088733447714575
I0038 - Yaghan895	22946	7181	0.3129521485226183
I0038 - Anzick	24461	8256	0.33751686357875804
I0040 - I0041	22052	6771	0.3070469798657718
I0040 - I0238	12743	3853	0.3023620811425881
I0040 - I0308	21124	6650	0.31480780155273624
I0040 - I0309	21913	7030	0.3208141285994615
I0040 - I1748	6221	1988	0.3195627712586401
I0040 - I1753	22980	7303	0.3177980852915579
I0040 - I1754	23100	7239	0.31337662337662336
I0040 - I2230	23024	7314	0.31766851980542044
I0040 - I2232	6986	2280	0.3263670197537933
I0040 - I7086	14125	4546	0.3218407079646018
I0040 - I7090	17788	5779	0.3248819428828424
I0040 - Lapa01	20905	6649	0.3180578808897393
I0040 - Lapa05	15882	5088	0.320362674726105
I0040 - Lapa14	21281	6819	0.32042667167896244
I0040 - Lapa15	22096	7121	0.32227552498189715
I0040 - Lapa22	21129	6874	0.32533484783946237
I0040 - Lapa24	22505	7118	0.3162852699400133
I0040 - Lapa25	21912	7078	0.3230193501277839
I0040 - AM66	5258	1710	0.32521871434005323
I0040 - AM71	12832	4157	0.3239557356608479
I0040 - AM73	3990	1266	0.3172932330827068
I0040 - AM74	20231	6595	0.3259848746972468
I0040 - MA577	22974	7289	0.3172716984417167
I0040 - Yaghan890	16165	5114	0.3163625115991339
I0040 - Yaghan894	21525	6846	0.3180487804878049
I0040 - Yaghan895	21861	6784	0.3103243218516994
I0040 - Anzick	23686	8040	0.3394410200118213
I0041 - I0238	11897	3658	0.30747247205177775
I0041 - I0308	20708	6629	0.3201178288584122
I0041 - I0309	21555	6895	0.31987937833449315
I0041 - I1748	5692	1793	0.3150035137034434
I0041 - I1753	22652	7133	0.31489493201483315
I0041 - I1754	22826	7156	0.3135021466748445
I0041 - I2230	22734	7220	0.3175859945456145
I0041 - I2232	6500	2093	0.322
I0041 - I7086	13393	4285	0.31994325393862466
I0041 - I7090	17081	5531	0.32381008137696854
I0041 - Lapa01	20600	6446	0.3129126213592233
I0041 - Lapa05	15267	4903	0.3211501932272221
I0041 - Lapa14	20882	6698	0.32075471698113206
I0041 - Lapa15	21755	6972	0.3204780510227534
I0041 - Lapa22	20754	6655	0.32066107738267324
I0041 - Lapa24	22161	7018	0.31668246017778984
I0041 - Lapa25	21586	6793	0.3146947095339572
I0041 - AM66	4756	1504	0.3162321278385198
I0041 - AM71	12132	3892	0.3208044840092318
I0041 - AM73	3636	1134	0.3118811881188119
I0041 - AM74	19679	6382	0.3243050968036994
I0041 - MA577	22543	6946	0.3081222552455308
I0041 - Yaghan890	15645	4841	0.3094279322467242
I0041 - Yaghan894	21115	6617	0.313379114373668
I0041 - Yaghan895	21413	6621	0.30920468874048473
I0041 - Anzick	23358	7688	0.3291377686445757
I0238 - I0308	10529	3329	0.31617437553423877
I0238 - I0309	12012	3909	0.3254245754245754
I0238 - I1748	1050	340	0.3238095238095238
I0238 - I1753	14061	4539	0.3228077661617239
I0238 - I1754	14349	4572	0.31862847585197573
I0238 - I2230	14129	4530	0.3206171703588364
I0238 - I2232	1234	378	0.3063209076175041
I0238 - I7086	3923	1271	0.32398674483813406
I0238 - I7090	6368	2138	0.33574120603015073
I0238 - Lapa01	10637	3318	0.31193005546676694
I0238 - Lapa05	5261	1753	0.33320661471203195
I0238 - Lapa14	11060	3521	0.3183544303797468
I0238 - Lapa15	12461	4060	0.32581654762860124
I0238 - Lapa22	10809	3479	0.32186141178647426
I0238 - Lapa24	13007	4181	0.32144230029983856
I0238 - Lapa25	12003	3757	0.31300508206281763
I0238 - AM66	846	274	0.32387706855791965
I0238 - AM71	3437	1059	0.3081175443700902
I0238 - AM73	624	211	0.33814102564102566
I0238 - AM74	9460	3128	0.3306553911205074
I0238 - MA577	14035	4366	0.31107944424652656
I0238 - Yaghan890	6112	1848	0.3023560209424084
I0238 - Yaghan894	11515	3621	0.31445940078158924
I0238 - Yaghan895	12013	3689	0.3070839923416299
I0238 - Anzick	15757	5256	0.33356603414355523
I0308 - I0309	20730	6444	0.31085383502170766
I0308 - I1748	4876	1479	0.30332239540607053
I0308 - I1753	21929	6867	0.3131469743262347
I0308 - I1754	22104	6826	0.3088128845457836
I0308 - I2230	21923	6700	0.30561510742142955
I0308 - I2232	5736	1780	0.3103207810320781
I0308 - I7086	11929	3551	0.29767792773912316
I0308 - I7090	15789	4756	0.30122237000443347
I0308 - Lapa01	19773	6184	0.31274970919941336
I0308 - Lapa05	14189	4541	0.32003664810768906
I0308 - Lapa14	20056	6343	0.3162644595133626
I0308 - Lapa15	20971	6612	0.31529254685041247
I0308 - Lapa22	19885	6279	0.3157656525018858
I0308 - Lapa24	21375	6683	0.3126549707602339
I0308 - Lapa25	20787	6373	0.306585846923558
I0308 - AM66	4036	1316	0.3260654112983152
I0308 - AM71	11101	3538	0.31871002612377264
I0308 - AM73	3157	967	0.30630345264491604
I0308 - AM74	18622	5881	0.315809257867039
I0308 - MA577	21746	6735	0.30971213096661454
I0308 - Yaghan890	14883	4578	0.30759927433985085
I0308 - Yaghan894	20259	6203	0.30618490547411026
I0308 - Yaghan895	20645	6349	0.30753209009445387
I0308 - Anzick	22662	7571	0.3340834877768952
I0309 - I1748	5618	1825	0.3248487006051976
I0309 - I1753	22725	7157	0.31493949394939497
I0309 - I1754	22868	7167	0.31340738149379044
I0309 - I2230	22700	7022	0.30933920704845813
I0309 - I2232	6687	2010	0.30058322117541497
I0309 - I7086	13423	4198	0.3127467779184981
I0309 - I7090	17064	5333	0.31252930145335206
I0309 - Lapa01	20798	6576	0.3161842484854313
I0309 - Lapa05	15625	5130	0.32832
I0309 - Lapa14	21083	6685	0.3170801119385287
I0309 - Lapa15	21885	7087	0.3238291066940827
I0309 - Lapa22	20952	6762	0.322737686139748
I0309 - Lapa24	22238	6979	0.31383217915280154
I0309 - Lapa25	21654	6713	0.31001200701948833
I0309 - AM66	4930	1602	0.32494929006085194
I0309 - AM71	12460	3821	0.30666131621187803
I0309 - AM73	3845	1186	0.30845253576072823
I0309 - AM74	19721	6461	0.3276203032300593
I0309 - MA577	22553	7017	0.31113377377732454
I0309 - Yaghan890	16294	5087	0.31220081011415246
I0309 - Yaghan894	21247	6673	0.31406786840495127
I0309 - Yaghan895	21574	6619	0.3068044868823584
I0309 - Anzick	23266	7581	0.32584028195650305
I1748 - I1753	7236	2295	0.31716417910447764
I1748 - I1754	7507	2438	0.3247635540162515
I1748 - I2230	7280	2277	0.3127747252747253
I1748 - I2232	427	123	0.28805620608899296
I1748 - I7086	1333	397	0.2978244561140285
I1748 - I7090	2490	678	0.27228915662650605
I1748 - Lapa01	4834	1506	0.3115432354158047
I1748 - Lapa05	1921	599	0.3118167621030713
I1748 - Lapa14	5036	1630	0.323669579030977
I1748 - Lapa15	6085	1988	0.3267050123253903
I1748 - Lapa22	4892	1557	0.31827473426001635
I1748 - Lapa24	6573	2050	0.31188194127491253
I1748 - Lapa25	5805	1843	0.3174849267872524
I1748 - AM66	264	86	0.32575757575757575
I1748 - AM71	1200	370	0.30833333333333335
I1748 - AM73	204	65	0.31862745098039214
I1748 - AM74	3963	1309	0.3303053242493061
I1748 - MA577	7065	2271	0.3214437367303609
I1748 - Yaghan890	2346	741	0.31585677749360613
I1748 - Yaghan894	5401	1647	0.30494352897611554
I1748 - Yaghan895	5758	1711	0.297151788815561
I1748 - Anzick	8380	2807	0.33496420047732695
I1753 - I1754	23712	7239	0.30528846153846156
I1753 - I2230	23584	7360	0.3120759837177748
I1753 - I2232	8356	2652	0.3173767352800383
I1753 - I7086	15421	4909	0.3183321444783088
I1753 - I7090	18858	6110	0.32400042422314135
I1753 - Lapa01	21919	6970	0.31798895935033533
I1753 - Lapa05	17389	5532	0.3181321525102076
I1753 - Lapa14	22200	7047	0.3174324324324324
I1753 - Lapa15	22869	7261	0.3175040447767721
I1753 - Lapa22	22083	7116	0.3222388262464339
I1753 - Lapa24	23170	7371	0.31812688821752266
I1753 - Lapa25	22737	7198	0.31657650525575054
I1753 - AM66	6343	2021	0.3186189500236481
I1753 - AM71	14395	4564	0.3170545328238972
I1753 - AM73	5026	1601	0.31854357341822526
I1753 - AM74	21143	6844	0.3237005155370572
I1753 - MA577	23453	7381	0.3147145354538865
I1753 - Yaghan890	17851	5451	0.3053610441992045
I1753 - Yaghan894	22373	6893	0.30809457828632725
I1753 - Yaghan895	22656	7111	0.313868290960452
I1753 - Anzick	24053	8068	0.335425934394878
I1754 - I2230	23708	7264	0.30639446600303694
I1754 - I2232	8597	2653	0.30859602186809354
I1754 - I7086	15737	4951	0.3146088835229078
I1754 - I7090	19097	6200	0.3246583232968529
I1754 - Lapa01	22060	6923	0.3138259292837715
I1754 - Lapa05	17637	5689	0.3225605261665816
I1754 - Lapa14	22334	7059	0.3160651920838184
I1754 - Lapa15	22992	7151	0.31102122477383437
I1754 - Lapa22	22207	7133	0.32120502544242807
I1754 - Lapa24	23295	7405	0.3178793732560635
I1754 - Lapa25	22852	7184	0.31437073341501837
I1754 - AM66	6617	1989	0.3005893909626719
I1754 - AM71	14734	4658	0.3161395411972309
I1754 - AM73	5200	1555	0.29903846153846153
I1754 - AM74	21353	6930	0.32454456048330443
I1754 - MA577	23589	7288	0.3089575649667218
I1754 - Yaghan890	18031	5521	0.30619488658421606
I1754 - Yaghan894	22543	6983	0.309763562968549
I1754 - Yaghan895	22804	6970	0.30564813190668305
I1754 - Anzick	24186	8068	0.3335814107334822
I2230 - I2232	8248	2457	0.29789039767216297
I2230 - I7086	15516	4848	0.31245166279969067
I2230 - I7090	18968	6041	0.31848376212568535
I2230 - Lapa01	21849	7005	0.3206096388850748
I2230 - Lapa05	17295	5584	0.3228678808904308
I2230 - Lapa14	22160	7096	0.32021660649819494
I2230 - Lapa15	22842	7341	0.32138166535329654
I2230 - Lapa22	22070	7120	0.32260987766198457
I2230 - Lapa24	23202	7347	0.31665373674683217
I2230 - Lapa25	22692	7259	0.31989247311827956
I2230 - AM66	6345	2018	0.31804570527974785
I2230 - AM71	14301	4553	0.3183693448010629
I2230 - AM73	4882	1503	0.30786562884063906
I2230 - AM74	21194	6878	0.32452580919128055
I2230 - MA577	23529	7328	0.3114454502953802
I2230 - Yaghan890	17622	5506	0.3124503461582113
I2230 - Yaghan894	22352	7049	0.3153632784538296
I2230 - Yaghan895	22610	6991	0.30919946926138875
I2230 - Anzick	24137	8026	0.3325185400008286
I2232 - I7086	1632	506	0.31004901960784315
I2232 - I7090	2866	907	0.3164689462665736
I2232 - Lapa01	5976	1954	0.32697456492637217
I2232 - Lapa05	2541	807	0.31759149940968123
I2232 - Lapa14	6120	1936	0.31633986928104574
I2232 - Lapa15	7165	2300	0.32100488485694345
I2232 - Lapa22	5932	1839	0.3100134861766689
I2232 - Lapa24	7661	2462	0.321367967628247
I2232 - Lapa25	6860	2270	0.33090379008746357
I2232 - AM66	322	99	0.30745341614906835
I2232 - AM71	1531	476	0.3109079033311561
I2232 - AM73	274	80	0.291970802919708
I2232 - AM74	4695	1518	0.3233226837060703
I2232 - MA577	8027	2512	0.3129438146256385
I2232 - Yaghan890	3167	1044	0.3296495105778339
I2232 - Yaghan894	6444	2065	0.32045313469894476
I2232 - Yaghan895	6897	2105	0.3052051616644918
I2232 - Anzick	9230	2991	0.32405200433369447
I7086 - I7090	7686	2412	0.31381733021077285
I7086 - Lapa01	11894	3820	0.3211703379855389
I7086 - Lapa05	6216	1974	0.31756756756756754
I7086 - Lapa14	12426	4078	0.32818284242716883
I7086 - Lapa15	13820	4341	0.31410998552821995
I7086 - Lapa22	12177	3993	0.32791327913279134
I7086 - Lapa24	14458	4650	0.32162124775210954
I7086 - Lapa25	13398	4240	0.31646514405135096
I7086 - AM66	1091	325	0.29789184234647115
I7086 - AM71	4023	1260	0.3131991051454139
I7086 - AM73	744	236	0.3172043010752688
I7086 - AM74	10609	3517	0.3315109812423414
I7086 - MA577	15235	4812	0.3158516573679029
I7086 - Yaghan890	6685	2131	0.318773373223635
I7086 - Yaghan894	12672	4015	0.3168402777777778
I7086 - Yaghan895	13131	4089	0.31140050262737035
I7086 - Anzick	16965	5601	0.33015030946065427
I7090 - Lapa01	15611	4974	0.31862148485042596
I7090 - Lapa05	9492	3031	0.3193215339233038
I7090 - Lapa14	16172	5160	0.31906999752658916
I7090 - Lapa15	17386	5643	0.32457149430576326
I7090 - Lapa22	15944	5151	0.3230682388359257
I7090 - Lapa24	18024	5831	0.32351309365290726
I7090 - Lapa25	17045	5579	0.3273100616016427
I7090 - AM66	1996	650	0.3256513026052104
I7090 - AM71	6768	2199	0.3249113475177305
I7090 - AM73	1494	450	0.30120481927710846
I7090 - AM74	14505	4772	0.32899000344708723
I7090 - MA577	18784	6016	0.3202725724020443
I7090 - Yaghan890	10170	3120	0.30678466076696165
I7090 - Yaghan894	16491	5271	0.319628888484628
I7090 - Yaghan895	17022	5439	0.31952767007402183
I7090 - Anzick	20134	6793	0.33738949041422467
Lapa01 - Lapa05	14758	4637	0.3142024664588698
Lapa01 - Lapa14	20349	6418	0.31539633397218536
Lapa01 - Lapa15	21115	6461	0.3059910016575894
Lapa01 - Lapa22	20185	6371	0.3156304186276938
Lapa01 - Lapa24	21469	6602	0.3075131585076156
Lapa01 - Lapa25	20923	4813	0.23003393394828658
Lapa01 - AM66	4132	1383	0.33470474346563406
Lapa01 - AM71	11543	3666	0.3175950792688209
Lapa01 - AM73	3476	1106	0.3181818181818182
Lapa01 - AM74	18669	6094	0.32642348277893835
Lapa01 - MA577	21695	6710	0.309287854344319
Lapa01 - Yaghan890	15714	4902	0.3119511263841161
Lapa01 - Yaghan894	20488	6329	0.3089125341663413
Lapa01 - Yaghan895	20834	6440	0.30911010847652876
Lapa01 - Anzick	22443	7383	0.32896671567972197
Lapa05 - Lapa14	15063	4544	0.30166633472747795
Lapa05 - Lapa15	16235	4966	0.3058823529411765
Lapa05 - Lapa22	14843	4668	0.31449167957959984
Lapa05 - Lapa24	16610	5168	0.3111378687537628
Lapa05 - Lapa25	15850	4857	0.30643533123028394
Lapa05 - AM66	1612	517	0.3207196029776675
Lapa05 - AM71	6154	1910	0.31036724081897954
Lapa05 - AM73	1383	449	0.32465654374548086
Lapa05 - AM74	12997	4257	0.32753712395168116
Lapa05 - MA577	17210	5464	0.31748983149331783
Lapa05 - Yaghan890	10156	3143	0.3094722331626625
Lapa05 - Yaghan894	15388	4930	0.3203795165063686
Lapa05 - Yaghan895	15873	4909	0.3092673092673093
Lapa05 - Anzick	18357	6030	0.32848504657623795
Lapa14 - Lapa15	21343	6705	0.3141545237314342
Lapa14 - Lapa22	20446	6399	0.3129707522253742
Lapa14 - Lapa24	21731	6510	0.2995720399429387
Lapa14 - Lapa25	21134	6585	0.3115832308129081
Lapa14 - AM66	4366	1390	0.3183692166743014
Lapa14 - AM71	11753	3764	0.32025865736407727
Lapa14 - AM73	3496	1120	0.32036613272311215
Lapa14 - AM74	19014	6255	0.32896812874723885
Lapa14 - MA577	22026	7042	0.319713066376101
Lapa14 - Yaghan890	15778	4980	0.3156293573329953
Lapa14 - Yaghan894	20710	6528	0.315210043457267
Lapa14 - Yaghan895	21042	6727	0.31969394544244845
Lapa14 - Anzick	22797	7477	0.3279817519849103
Lapa15 - Lapa22	21252	6695	0.3150291737248259
Lapa15 - Lapa24	22460	6923	0.3082368655387355
Lapa15 - Lapa25	21949	6555	0.29864686318283296
Lapa15 - AM66	5330	1706	0.3200750469043152
Lapa15 - AM71	13192	4276	0.3241358399029715
Lapa15 - AM73	4321	1406	0.325387641749595
Lapa15 - AM74	20113	6755	0.33585243374931634
Lapa15 - MA577	22724	7363	0.3240186586868509
Lapa15 - Yaghan890	16994	5335	0.31393432976344593
Lapa15 - Yaghan894	21568	6823	0.316348293768546
Lapa15 - Yaghan895	21893	7027	0.32097017311469417
Lapa15 - Anzick	23409	7680	0.328078943995899
Lapa22 - Lapa24	21608	6425	0.2973435764531655
