pair	nsnps	mismatch	pmr
I0309 - Lapa25	23173	4717	0.20355586242609933
I0309 - AM66	6771	1431	0.21134249003101463
I0309 - AM71	14980	3025	0.201935914552737
I0309 - AM73	5355	1071	0.2
I0309 - AM74	21626	4629	0.21404790529917692
I0309 - MA577	23797	4845	0.20359709207042906
I0309 - Yaghan890	18535	3776	0.20372268680874023
I0309 - Yaghan894	22838	4545	0.19901042122777826
I0309 - Yaghan895	23095	4715	0.20415674388395758
I0309 - Anzick	24334	5172	0.21254212213364018
I1748 - I1753	9500	1964	0.20673684210526316
I1748 - I1754	9814	2070	0.21092317098023233
I1748 - I2230	9539	1944	0.20379494705944018
I1748 - I2232	650	120	0.18461538461538463
I1748 - I7086	1943	387	0.19917653113741637
I1748 - I7090	3547	640	0.18043416972089088
I1748 - Lapa01	6551	1328	0.20271714242100441
I1748 - Lapa05	2729	566	0.2074019787467937
I1748 - Lapa14	6895	1432	0.2076867295141407
I1748 - Lapa15	8107	1728	0.2131491303811521
I1748 - Lapa22	6734	1371	0.2035937035937036
I1748 - Lapa24	8674	1768	0.20382753055107217
I1748 - Lapa25	7755	1597	0.2059316569954868
I1748 - AM66	400	84	0.21
I1748 - AM71	1724	355	0.20591647331786542
I1748 - AM73	292	65	0.2226027397260274
I1748 - AM74	5493	1195	0.2175496085927544
I1748 - MA577	9334	1941	0.20794943218341547
I1748 - Yaghan890	3301	695	0.21054225992123599
I1748 - Yaghan894	7322	1473	0.20117454247473368
I1748 - Yaghan895	7756	1497	0.19301186178442495
I1748 - Anzick	10898	2374	0.21783813543769498
I1753 - I1754	24651	5011	0.20327775749462496
I1753 - I2230	24568	5137	0.20909312927385215
I1753 - I2232	10714	2253	0.2102856076162031
I1753 - I7086	17961	3727	0.20750515004732475
I1753 - I7090	20939	4402	0.2102297148860977
I1753 - Lapa01	23291	4966	0.21321540509209566
I1753 - Lapa05	19668	4074	0.2071384990848078
I1753 - Lapa14	23536	4911	0.20865907545887152
I1753 - Lapa15	24020	4938	0.20557868442964197
I1753 - Lapa22	23410	4998	0.21349850491243058
I1753 - Lapa24	24261	5081	0.2094307736696756
I1753 - Lapa25	23908	4969	0.20783838045842395
I1753 - AM66	8511	1770	0.20796616143813887
I1753 - AM71	16834	3442	0.20446714981584888
I1753 - AM73	6842	1412	0.20637240572931892
I1753 - AM74	22770	4819	0.2116381203337725
I1753 - MA577	24489	4971	0.20298909714565724
I1753 - Yaghan890	19953	3957	0.1983160427003458
I1753 - Yaghan894	23682	4869	0.20559918925766404
I1753 - Yaghan895	23872	4879	0.20438170241286863
I1753 - Anzick	24894	5506	0.22117779384590663
I1754 - I2230	24658	5037	0.2042744748154757
I1754 - I2232	10976	2261	0.2059948979591837
I1754 - I7086	18308	3763	0.2055385623771029
I1754 - I7090	21125	4427	0.2095621301775148
I1754 - Lapa01	23442	4847	0.2067656343315417
I1754 - Lapa05	19895	4260	0.2141241517969339
I1754 - Lapa14	23641	4822	0.20396768326212936
I1754 - Lapa15	24122	4892	0.20280242102644888
I1754 - Lapa22	23557	4937	0.2095767712357261
I1754 - Lapa24	24359	5035	0.20669978242128167
I1754 - Lapa25	23991	4988	0.2079113000708599
I1754 - AM66	8836	1712	0.19375282933454052
I1754 - AM71	17178	3495	0.20345791128187216
I1754 - AM73	7062	1362	0.19286321155480035
I1754 - AM74	22937	4847	0.21131795788464053
I1754 - MA577	24592	4988	0.2028301886792453
I1754 - Yaghan890	20114	3950	0.1963806304066819
I1754 - Yaghan894	23802	4845	0.2035543231661205
I1754 - Yaghan895	23983	4819	0.2009339949130634
I1754 - Anzick	24971	5461	0.2186936846742221
I2230 - I2232	10594	2123	0.20039645082121957
I2230 - I7086	18093	3659	0.20223290775438016
I2230 - I7090	21020	4389	0.2088011417697431
I2230 - Lapa01	23253	4901	0.21076850298886166
I2230 - Lapa05	19632	4178	0.2128158109209454
I2230 - Lapa14	23506	4981	0.21190334382710796
I2230 - Lapa15	24010	5047	0.21020408163265306
I2230 - Lapa22	23436	4920	0.20993343573988735
I2230 - Lapa24	24295	5070	0.20868491459147973
I2230 - Lapa25	23900	4913	0.20556485355648535
I2230 - AM66	8588	1749	0.20365626455519328
I2230 - AM71	16736	3498	0.20901051625239006
I2230 - AM73	6672	1340	0.20083932853717026
I2230 - AM74	22792	4764	0.20902070902070902
I2230 - MA577	24548	5000	0.20368258106566725
I2230 - Yaghan890	19738	4049	0.20513729861181476
I2230 - Yaghan894	23662	4892	0.20674499197024765
I2230 - Yaghan895	23849	4823	0.2022307014969181
I2230 - Anzick	24958	5397	0.2162432887250581
I2232 - I7086	2326	488	0.20980223559759242
I2232 - I7090	3980	842	0.21155778894472363
I2232 - Lapa01	7881	1689	0.21431290445374954
I2232 - Lapa05	3520	751	0.21335227272727272
I2232 - Lapa14	8168	1726	0.2113124387855044
I2232 - Lapa15	9295	1999	0.21506186121570736
I2232 - Lapa22	7933	1630	0.2054708181016009
I2232 - Lapa24	9843	2149	0.21832774560601442
I2232 - Lapa25	9011	1980	0.21973143935190323
I2232 - AM66	497	98	0.19718309859154928
I2232 - AM71	2163	450	0.20804438280166435
I2232 - AM73	398	79	0.1984924623115578
I2232 - AM74	6364	1368	0.21495914519170334
I2232 - MA577	10350	2150	0.20772946859903382
I2232 - Yaghan890	4326	972	0.22468793342579751
I2232 - Yaghan894	8471	1806	0.2131979695431472
I2232 - Yaghan895	8983	1829	0.2036068128687521
I2232 - Anzick	11753	2496	0.21237130945290564
I7086 - I7090	10123	2039	0.20142250321051072
I7086 - Lapa01	14501	3043	0.20984759671746775
I7086 - Lapa05	8311	1723	0.20731560582360728
I7086 - Lapa14	15158	3133	0.20668953687821612
I7086 - Lapa15	16470	3374	0.20485731633272616
I7086 - Lapa22	14871	3252	0.2186806536211418
I7086 - Lapa24	17140	3610	0.21061843640606767
I7086 - Lapa25	16020	3292	0.20549313358302124
I7086 - AM66	1630	305	0.18711656441717792
I7086 - AM71	5544	1148	0.20707070707070707
I7086 - AM73	1122	229	0.20409982174688057
I7086 - AM74	13326	2866	0.215068287558157
I7086 - MA577	17858	3590	0.20103035054317392
I7086 - Yaghan890	8690	1874	0.21565017261219793
I7086 - Yaghan894	15319	3133	0.20451726614008747
I7086 - Yaghan895	15833	3247	0.20507800164213982
I7086 - Anzick	19427	4095	0.21078910794255418
I7090 - Lapa01	18071	3790	0.20972829395163523
I7090 - Lapa05	11990	2548	0.21251042535446205
I7090 - Lapa14	18641	3967	0.21281047154122634
I7090 - Lapa15	19703	4202	0.213267015175354
I7090 - Lapa22	18414	3920	0.21288150320408386
I7090 - Lapa24	20297	4274	0.21057299108242597
I7090 - Lapa25	19370	4067	0.209963861641714
I7090 - AM66	2905	618	0.21273666092943203
I7090 - AM71	8866	1886	0.21272276110985788
I7090 - AM73	2177	431	0.19797887000459347
I7090 - AM74	17142	3684	0.21491074553727688
I7090 - MA577	20942	4307	0.20566326043357847
I7090 - Yaghan890	12490	2532	0.20272217774219375
I7090 - Yaghan894	18964	3894	0.20533642691415313
I7090 - Yaghan895	19289	4031	0.20897921094924568
I7090 - Anzick	22001	4737	0.21530839507295124
Lapa01 - Lapa05	17236	3567	0.20695056857739616
Lapa01 - Lapa14	22093	4596	0.2080296926628344
Lapa01 - Lapa15	22702	4489	0.19773588230111885
Lapa01 - Lapa22	21987	4649	0.2114431254832401
Lapa01 - Lapa24	22959	4613	0.2009233851648591
Lapa01 - Lapa25	22555	3375	0.1496342274440257
Lapa01 - AM66	5722	1250	0.21845508563439356
Lapa01 - AM71	13992	2936	0.20983419096626643
Lapa01 - AM73	4848	1013	0.20895214521452146
Lapa01 - AM74	20685	4487	0.21692047377326565
Lapa01 - MA577	23142	4761	0.2057298418459943
Lapa01 - Yaghan890	17968	3690	0.20536509349955476
Lapa01 - Yaghan894	22193	4637	0.20893975577884918
Lapa01 - Yaghan895	22458	4522	0.20135363790186125
Lapa01 - Anzick	23716	5099	0.21500252993759486
Lapa05 - Lapa14	17600	3444	0.19568181818181818
Lapa05 - Lapa15	18590	3729	0.20059171597633135
Lapa05 - Lapa22	17373	3574	0.20572152190180165
Lapa05 - Lapa24	19008	3877	0.20396675084175084
Lapa05 - Lapa25	18218	3631	0.1993083763311011
Lapa05 - AM66	2364	488	0.20642978003384094
Lapa05 - AM71	8099	1681	0.20755648845536487
Lapa05 - AM73	1977	433	0.2190187152250885
Lapa05 - AM74	15554	3297	0.21197119711971196
Lapa05 - MA577	19511	4010	0.20552508841166522
Lapa05 - Yaghan890	12374	2599	0.2100371747211896
Lapa05 - Yaghan894	17770	3705	0.20849746764209343
Lapa05 - Yaghan895	18251	3705	0.20300257520135884
Lapa05 - Anzick	20550	4318	0.21012165450121653
Lapa14 - Lapa15	22934	4664	0.20336618121566233
Lapa14 - Lapa22	22240	4639	0.20858812949640287
Lapa14 - Lapa24	23187	4645	0.20032776987104844
Lapa14 - Lapa25	22745	4670	0.20531985051659704
Lapa14 - AM66	6077	1269	0.208820141517196
Lapa14 - AM71	14275	2989	0.20938704028021016
Lapa14 - AM73	4944	1035	0.20934466019417475
Lapa14 - AM74	21079	4413	0.2093552825086579
Lapa14 - MA577	23411	4849	0.2071248558369997
Lapa14 - Yaghan890	18065	3716	0.20570163299197342
Lapa14 - Yaghan894	22416	4642	0.2070842255531763
Lapa14 - Yaghan895	22674	4702	0.2073740848548999
Lapa14 - Anzick	23994	5152	0.214720346753355
Lapa15 - Lapa22	22790	4675	0.20513383062746818
Lapa15 - Lapa24	23713	4805	0.20263146797115505
Lapa15 - Lapa25	23307	4585	0.19672201484532545
Lapa15 - AM66	7249	1504	0.207476893364602
Lapa15 - AM71	15667	3291	0.2100593604391396
Lapa15 - AM73	5960	1251	0.2098993288590604
Lapa15 - AM74	21938	4768	0.21733977573160726
Lapa15 - MA577	23955	4928	0.20571905656439157
Lapa15 - Yaghan890	19167	3910	0.2039964522356133
Lapa15 - Yaghan894	23051	4829	0.20949199600884993
Lapa15 - Yaghan895	23305	4797	0.2058356575842094
Lapa15 - Anzick	24433	5247	0.21475054229934923
Lapa22 - Lapa24	23082	4494	0.19469716662334285
Lapa22 - Lapa25	22675	4637	0.20449834619625137
Lapa22 - AM66	5814	1222	0.21018231854145167
Lapa22 - AM71	13932	2981	0.21396784381280506
Lapa22 - AM73	4775	1022	0.21403141361256545
Lapa22 - AM74	20922	4398	0.21020934901061084
