pop1,pop2,pop3,est,se,z,n
Mbuti,PATAGONIA_TERRESTRE,BRASIL_TEMPRANO,0.088134397,0.000708574,124.3826857,808203
Mbuti,PATAGONIA_TERRESTRE,CUBA,0.091767146,0.000632285,145.1357238,1008890
Mbuti,PATAGONIA_TERRESTRE,CENTRO_PERU,0.091974725,0.00068112,135.0344597,928812
Mbuti,PATAGONIA_TERRESTRE,NORTE_PERU,0.092191312,0.000675529,136.4727349,663197
Mbuti,PATAGONIA_TERRESTRE,CALIFORNIA,0.090359009,0.000648838,139.2628493,1044221
Mbuti,PATAGONIA_TERRESTRE,PERU_TempranoHoloceno,0.090589375,0.000692466,130.8214919,935984
Mbuti,PATAGONIA_TERRESTRE,SUR_PERU,0.092008129,0.000638968,143.9948988,929249
Mbuti,PATAGONIA_TERRESTRE,PERU_MedioHoloceno,0.092514104,0.000709803,130.3376896,857034
Mbuti,PATAGONIA_TERRESTRE,PERICUES,0.088806971,0.000715105,124.1872951,426735
Mbuti,PERU_TempranoHoloceno,PATAGONIA_MARITIMO,0.090599234,0.000698383,129.7270685,968960
Mbuti,PERU_TempranoHoloceno,PUERTO_RICO,0.090334472,0.000640336,141.0735905,958516
Mbuti,PERU_TempranoHoloceno,BRASIL_TARDIO,0.090582604,0.000677904,133.6215744,953679
Mbuti,PERU_TempranoHoloceno,ALASKA,0.080390104,0.000621643,129.3187017,961550
Mbuti,PERU_TempranoHoloceno,BRASIL_TEMPRANO,0.086612389,0.000717913,120.6447312,752484
Mbuti,PERU_TempranoHoloceno,CUBA,0.090458004,0.00064526,140.1885268,944079
Mbuti,PERU_TempranoHoloceno,CENTRO_PERU,0.092472761,0.000706133,130.9566407,889817
Mbuti,PERU_TempranoHoloceno,NORTE_PERU,0.092460126,0.000700145,132.0585812,634453
Mbuti,PERU_TempranoHoloceno,CALIFORNIA,0.089489428,0.00064584,138.562872,969867
Mbuti,PERU_TempranoHoloceno,PATAGONIA_TERRESTRE,0.090589375,0.000692466,130.8214919,935984
Mbuti,PERU_TempranoHoloceno,SUR_PERU,0.09296582,0.000658705,141.134197,876703
Mbuti,PERU_TempranoHoloceno,PERU_MedioHoloceno,0.093884566,0.000759717,123.5783927,813256
Mbuti,PERU_TempranoHoloceno,PERICUES,0.087628754,0.000727192,120.5029109,398890
Mbuti,SUR_PERU,PATAGONIA_MARITIMO,0.091937764,0.000635059,144.7704611,952488
Mbuti,SUR_PERU,PUERTO_RICO,0.092111629,0.000610714,150.8260608,945984
Mbuti,SUR_PERU,BRASIL_TARDIO,0.091986527,0.000626543,146.8159965,941647
Mbuti,SUR_PERU,ALASKA,0.081578824,0.000586789,139.0258806,946478
Mbuti,SUR_PERU,BRASIL_TEMPRANO,0.087521862,0.000675053,129.6519326,736778
Mbuti,SUR_PERU,CUBA,0.092181078,0.000619522,148.7938316,934287
Mbuti,SUR_PERU,CENTRO_PERU,0.093944608,0.000662017,141.9066626,868999
Mbuti,SUR_PERU,NORTE_PERU,0.094303522,0.000652199,144.5931055,641347
Mbuti,SUR_PERU,CALIFORNIA,0.090478788,0.000608,148.8137254,953203
Mbuti,SUR_PERU,PATAGONIA_TERRESTRE,0.092008129,0.000638968,143.9948988,929249
Mbuti,SUR_PERU,PERU_TempranoHoloceno,0.09296582,0.000658705,141.134197,876703
Mbuti,SUR_PERU,PERU_MedioHoloceno,0.09506898,0.000678957,140.0220153,822054
Mbuti,SUR_PERU,PERICUES,0.088128908,0.000669617,131.6108978,395933
Mbuti,PERU_MedioHoloceno,PATAGONIA_MARITIMO,0.091926331,0.000721998,127.3221115,877188
Mbuti,PERU_MedioHoloceno,PUERTO_RICO,0.092355034,0.000649345,142.2280191,871758
